Election Year
Election Type
County Code
Precinct Code
Candidate Office Rank
Candidate District
Candidate Party Rank
Candidate Ballot Position
Candidate Office Code
Candidate Party Code
Candidate Number
Candidate Last Name
Candidate First Name
Candidate Middle Name
Candidate Suffix
Vote Total
U.S. Congressional District
State Senatorial District
State House District
Municipality Type Code
Municipality Name
Municipality Breakdown Code 1
Municipality Breakdown Name 1
Municipality Breakdown Code 2
Municipality Breakdown Name 2
Bi-County Code
MCD Code
FIPS Code
VTD code
Previous Precinct Code
Previous U.S. Congressional District
Previous State Senatorial District
Previous State House District
